LINEID,N/A
3011,A01A
302,A02
303,A03
304,A04
305,A05
306,A06
311,A11
3112,A11B
3121,A12A
3122,A12B
3123,A12C
3124,A12D
3131,A13A
3132,A13B
3133,A13C
3141,A14A
3142,A14B
3171,A17A
3172,A17B
3173,A17C
318,A18
3191,A19A
3192,A19B
321,A21
322,A22
323,A23
324,A24
332,A32
333,A33
334,A34
3351,A35A
3352,A35B
336,A36
3371,A37A
3372,A37B
3411,A41A
3412,A41B
3413,A41C
3421,A42A
3422,A42B
3441,A44A
3442,A44B
3452,A45B
347,A47
352,A52
353,A53
355,A55
356,A56
357,A57
370,A70
371,A71
3721,A72A
3722,A72B
373,A73
375,A75
376,A76
377,A77
3781,A78A
385,A85
651,D51
421,E21
427,E27
4272,E27B
431,E31
437,E37
441,E41
452,E52
5660,F60
661,F61
909,MIO
2101,P10A
2102,P10B
2104,P10D
2121,P12A
2141,P14A
217,P17
2211,P21A
2212,P21B
2241,P24A
2242,P24B
2243,P24C
2273,P27C
2274,P27D
2301,P30A
2401,P40A
2402,P40B
243,P43
2471,P47A
2472,P47B
2473,P47C
251,P51
2521,P52A
2524,P52D
271,P71
272,P72
2801,P80A
282,P82
283,P83
2841,P84A
2842,P84B
551,R51
552,R52
553,R53
554,R54
555,R55
557,R57
547,RE7
549,RE9
541,REA
5616,RF16
131,T31
140,T40
142,T42
1472,T47B
150,T50
1571,T57A
722,U22
723,U23
734,U34
751,U51
752,U52
753,U53
